TY,TI,AU,T2,A2,AB,C3,DA,PY,DO,LA,PB,UR,DB,N1,KW,VL,SP,EP,SN,IS,J2,ST,C1,filter_1,filter_1_date,filter_1_observations
CONF,Research on Disease Drug Knowledge Graph Based on Different Source Medical Guidelines and Large Language Model,Q. Wang; M. Liu,2024 3rd International Conference on Health Big Data and Intelligent Healthcare (ICHIH),,"In this study, we propose a method for constructing a medical knowledge graph by integrating diverse data sources and employing natural language processing techniques to enhance drug treatment information and clinical decision support. We utilized authoritative medical guidelines from the NHS and Mayo Clinic, applied the SciBERT model for drug entity recognition, and standardized drug names through the UMLS system. Additionally, the ERNIE Bot large language model was used to generate and verify drug side effect information, enriching the knowledge graph with side effect data. This approach resulted in a multi-dimensional knowledge graph that captures relationships between diseases, drugs, drug categories, and side effects. Compared to traditional methods, our approach offers more comprehensive data sources, improved entity recognition accuracy, enriched graph content, and enhanced decision support capabilities. Ultimately, this knowledge graph aids in the rapid and precise development of personalized treatment plans and minimizes drug side effect risks in complex clinical scenarios.",2024 3rd International Conference on Health Big Data and Intelligent Healthcare (ICHIH),2024/12/13/15,2024,10.1109/ICHIH63459.2024.11064884,,,,,,Chatbots; Ciphers; Disease therapy; Diseases; Drug side effects; Drugs; ERNIE Bot; Guidelines; Knowledge graph; Knowledge graphs; Large language models; Medical treatment; SciBERT; Soft sensors; Unified modeling language,,168,172,,,,,,,,
JOUR,"A Survey on Medical Large Language Models: Technology, Application, Trustworthiness, and Future Directions",L. Liu; X. Yang; J. Lei; Y. Shen; J. Wang; P. Wei; Z. Chu; Z. Qin; K. Ren,IEEE Transactions on Knowledge and Data Engineering,,"With the advent of Large Language Models (LLMs), medical artificial intelligence (AI) has experienced substantial technological progress and paradigm shifts, highlighting the potential of LLMs to streamline healthcare delivery and improve patient outcomes. Considering this rapid technical progress, in this survey, we trace the recent advances of Medical Large Language Models (Med-LLMs), including the background, key findings, and mainstream techniques, especially for the evolution from general-purpose models to medical-specialized applications. Firstly, we delve into the foundational technology of Med-LLMs, indicating how general models can be progressively adapted and refined for the complicated medical tasks. Secondly, the wide-ranging applications of Med-LLMs are investigated across various healthcare domains, as well as an up-to-date review of existing Med-LLMs. The transformative impact of these models on daily medical practice is evident through their ability to assist clinicians, educators, and patients. Recognizing the importance of responsible innovation, we discuss the challenges associated with ensuring fairness, accountability, privacy, and robustness. Ethical considerations, rigorous evaluation methodologies, and the establishment of regulatory frameworks are crucial for building trustworthiness in the real-world system. We emphasize the need for ongoing scrutiny and development to maintain high standards of safety and reliability. Finally, we anticipate possible future trajectories for Med-LLMs, identifying key avenues for prudent expansion. By consolidating these insights, our review aims to provide professionals and researchers with a thorough understanding of the strengths and limitations of Med-LLMs, fostering a balanced and ethical approach to their integration into the healthcare ecosystem.",,2026///,2026,10.1109/TKDE.2026.3709941,,,,,,Artificial intelligence; Cognition; Cognitive systems; Conferences; HTTP; Large language models; LLMs; Medical AI; Medical services; Modeling; Training; Trustworthiness; Tuning,,1,25,1558-2191,,IEEE Transactions on Knowledge and Data Engineering,,,,,
CONF,Automated Derivation of Formal Properties from Requirements,B. Sultan; L. Apvrille; P. d. Saqui-Sannes,2026 IEEE International Systems Conference (SysCon),,"Early detection of design errors in the life cycle of systems is one of the many benefits one may expect from using an model-based systems engineering approach. The formal verification of models is thus an issue. Among verification techniques, the paper focuses on model checking. Taking as input a set of properties and a model, model checking outputs a “yes/no” answer for each property saying whether the property is verified or not. The relevance of this proof relies on the relevance of the defined properties. The paper proposes solutions for automated generation of properties from a SysML model and, more specifically, from the requirements expressed in the SysML model. We introduce an AI- and syntactic rule-based process that assists systems engineers in the generation of syntactically correct CTL properties, along with complementary contributions for computing and propagating requirement coverage from formal verification results, backtracing them directly in the SysML requirement diagram. The approach is mathematically defined, with explanatory comments accompanying the formalism to support comprehension. The proposed approach is further implemented by the free software TTool-AI. The latter is an open source SysML toolkit extended with an LLM-based assistant. A satellite system and an embedded maritime system serve as case studies.",2026 IEEE International Systems Conference (SysCon),2026/04/06/9,2026,10.1109/SysCon66367.2026.11503633,,,,,,Aerospace and electronic systems; Aerospace electronics; AI; Application specific integrated circuits; Circuit synthesis; Circuits; CTL; Feedback; Formal verification; Graphical user interfaces; LLM; MBSE; MDE; Properties generation; Register transfer level; SysML; System-on-chip; Telemetry,,1,8,2472-9647,,,,,,,
CONF,Querying Large Automotive Software Models: Agentic vs. Direct LLM Approaches,L. Mazur; N. Petrovic; J. P. Miranda; A. Radermacher; R. Rasche; A. Knoll,2025 2nd International Generative AI and Computational Language Modelling Conference (GACLM),,"Large language models (LLMs) offer new opportunities for interacting with complex software artifacts, such as software models, through natural language. They present especially promising benefits for large software models that are difficult to grasp in their entirety, making traditional interaction and analysis approaches challenging. This paper investigates two approaches for leveraging LLMs to answer questions over software models: direct prompting, where the whole software model is provided in the context, and an agentic approach combining LLM-based agents with general-purpose file access tools. We evaluate these approaches using an Ecore metamodel designed for timing analysis and software optimization in automotive and embedded domains. Our findings show that while the agentic approach achieves accuracy comparable to direct prompting, it is significantly more efficient in terms of token usage. This efficiency makes the agentic approach particularly suitable for the automotive industry, where the large size of software models makes direct prompting infeasible, establishing LLM agents as not just a practical alternative but the only viable solution. Notably, the evaluation was conducted using small LLMs, which are more feasible to be executed locally-an essential advantage for meeting strict requirements around privacy, intellectual property protection, and regulatory compliance. Future work will investigate software models in diverse formats, explore more complex agent architectures, and extend agentic workflows to support not only querying but also modification of software models.",2025 2nd International Generative AI and Computational Language Modelling Conference (GACLM),2025/08/18/21,2025,10.1109/GACLM67198.2025.11232128,,,,,,Agentic LLMs; Automotive engineering; Automotive Software; Biological system modeling; Computational modeling; Context modeling; LLMs for Model-Driven Engineering; Natural languages; Optimization; Privacy; Protection; Software; Software Model Querying; Timing,,221,228,,,,,,,,
CONF,"MedRAG-Agent: Medical Query Resolution By Employing A Multi-Agent, Knowledge Graph-Enhanced RAG-Based AI Framework",V. Yadav; Gaurav; A. Rana; S. Sharma,2025 IEEE 6th Global Conference for Advancement in Technology (GCAT),,"The usage of LLMs (Large Language Models) in healthcare is limited by their dependence on static, outdated knowledge, and their tendency for incorrect information (also known as ""hallucinations""). Although ""retrieval-augmented generation"" (RAG) has been recognized as one solution, standard RAG systems often fall short in the medical field because of a ""retrieval challenge""—the difficulty to get the relevant and accurate information among complicated biomedical terminology. This study presents MedRAG-Agent, a new multi-agent RAG AI framework designed to increase the accuracy of medical query resolution. The system architecture combines agent-based thinking process with a retrieval filter based on knowledge graphs. It features four specialized agents: a Query Decomposer, a Knowledge Graph (KG)Navigator, a Document Retriever, and a Synthesizer and Verifier. Using MedlinePlus and PubMed, we created a hybrid knowledge base and we tested the system using the MedQA dataset and the MIRAGE benchmark. MedRAG-Agent performed exceptionally well, achieving 78.5% accuracy on the MedQA dataset, a 12% relative improvement on a vanilla RAG baseline, and a 15% reduction in ""hallucinated"" content. The KG Navigator and Verifier agents were the main contributors to these gains in the accuracy of the model, according to ablation studies. MedRAG-Agent framework can be an important step towards creating more reliable and applicable AI for medical information retrieval in the healthcare sector.",2025 IEEE 6th Global Conference for Advancement in Technology (GCAT),2025/10/24/26,2025,10.1109/GCAT66372.2025.11368379,,,,,,Accuracy; Clinical Decision Support; Knowledge Graph; Knowledge graphs; Large language models; Large Language Models; Medical Informatics; Medical services; Multi-Agent Systems; Navigation; Reliability; Retrieval augmented generation; Retrieval-Augmented Generation (RAG); Synthesizers; Systems architecture; Terminology,,1,4,,,,,,,,
CONF,Low-Resource Biomedical Event Detection: Enhancement with Context Generated by Large Language Models,X. Peng; Y. Zhang; Q. Zeng; Y. Peng,2025 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),,"Low-resource biomedical event detection has received extensive research attention in recent years. Most existing studies improve the detection of biomedical events by integrating external knowledge, but their injection of rule-based knowledge often introduces irrelevant information and noise. To solve this problem, we propose a context-enhanced framework based on large language models (LLMs) for biomedical event detection. It employs a multi-module prompt framework that generates wordlevel, paragraph-level, and inference-level context to address lexical ambiguity, background knowledge deficits, and insufficient understanding of event relations in biomedical event detection. Extracting pertinent information while suppressing noise from the voluminous context produced by large language models is crucial for event-detection performance. To address this problem, we designed context selection and synthesis strategies to identify the most suitable context to enrich the prototype representation. Within the prototypical network we constructed, the selected context enriches the prototype embeddings. Experimental results on the MLEE dataset show that our method significantly improves the performance of existing prototype models, especially under data-scarce conditions, indicating the effectiveness of context information in trigger detection within the biomedical field.",2025 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),2025/12/15/18,2025,10.1109/BIBM66473.2025.11356279,,,,,,Bioinformatics; Biological system modeling; Biomedical Event Detection; Context modeling; Contextual Information; Data mining; Event detection; Large Language Model; Large language models; Low Resource; Noise; Prototype Model; Prototypes,,2723,2729,2156-1133,,,,,,,
CONF,LLMs in the Heart of Differential Testing: A Case Study on a Medical Rule Engine,E. Isaku; C. Laaber; H. Sartaj; S. Ali; T. Schwitalla; J. F. Nygård,"2025 IEEE Conference on Software Testing, Verification and Validation (ICST)",,"The Cancer Registry of Norway (CRN) uses an automated cancer registration support system (CaReSS) to support core cancer registry activities, i.e., data capture, data curation, and producing data products and statistics for various stakeholders. GURI is a core component of CaReSS, which is responsible for validating incoming data with medical rules. Such medical rules are manually implemented by medical experts based on medical standards, regulations, and research. Since large language models (LLMs) have been trained on a large amount of public information, including these documents, they can be employed to generate tests for GURI. Thus, we propose an LLM-based test generation and differential testing approach (LLMeDiff) to test GURI. We experimented with four different LLMs, two medical rule engine implementations, and 58 real medical rules to investigate the hallucination, success, time efficiency, and robustness of the LLMs to generate tests, and these tests' ability to find potential issues in GURI. Our results showed that GPT-3.5 hallucinates the least, is the most successful, and is generally the most robust; however, it has the worst time efficiency. Our differential testing revealed 22 medical rules where implementation inconsistencies were discovered (e.g., regarding handling rule versions). Finally, we provide insights for practitioners and researchers based on the results.","2025 IEEE Conference on Software Testing, Verification and Validation (ICST)",2025/04/31/March-4,2025,10.1109/ICST62969.2025.10989025,,,,,,Automated Software Testing; Cancer; Differential Testing; Electronic Health Records; Engines; Large language models; Large Language Models; Medical Rules; Regulation; Robustness; Software testing; Stakeholders; Standards; Test Generation; Test pattern generators; Web services,,429,440,2159-4848,,,,,,,
CONF,Diagram-Aware Automatic Review of Software Design Documents Using Multimodal Large Language Models,T. Fukuda; S. Tokumoto,"2026 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",,"With the growing capabilities of Large Language Models (LLMs), their application to software engineering tasks has garnered increasing attention. While our previous work focused on automated review of software design documents composed of text and tables, diagram-based artifacts such as UML or screen transition diagrams remained outside the scope of analysis. Reviewing such documents requires accurate interpretation of structural and semantic elements, including nodes, edges, and transition conditions. This paper proposes a hybrid diagram-understanding method that leverages multimodal LLMs together with diagram structure extracted from Office Open XML (OOXML) representations, guided by Chain-of-Thought prompting, to incrementally interpret diagrams in real-world design documents. The method enables integrated analysis across diagrams, tables, and textual content within the review process. Evaluation results show that the proposed approach achieves high accuracy in tasks involving structural recognition, such as consistency checking. However, the results also highlight persistent challenges in semantic-level review tasks, particularly in interpreting complex transition conditions. These findings provide insights into the current capabilities and limitations of multimodal LLMs for high-stakes design document reviews.","2026 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",2026/03/17/20,2026,10.1109/SANER67736.2026.00108,,,,,,Business; Design methodology; Diagram Understanding; Fluid flow; Labeling; Large language models; Large Language Models; Modeling; Printing; Reviews; Shape; Software Design Review; Visualization,,924,934,2640-7574,,,,,,,
CONF,A Prompt-Based Approach for Software Development,M. Hamdi; L. D. Kim,2023 International Conference on Computational Science and Computational Intelligence (CSCI),,"Generative Language-Based AI (Gen-LBAI) models have drawn significant interest in a wide range of fields including software engineering. There has been increasing interest in lever-aging Gen-LBAI models in various areas of software engineering for efficient software development. Successful adoption of AI models can save time by generating various types of software artifacts, which lets the developer focus on more critical and creative tasks. In this paper, we present a prompt-based approach for software development using an AI model. The approach presents a set of guidelines for designing prompts and discusses where and how AI models can be used in software development for improved efficiency. The approach is evaluated in a case study using ChatGPT-4 and compared with manual development. The evaluation shows that the approach increases 41% in efficiency compared to manual development.",2023 International Conference on Computational Science and Computational Intelligence (CSCI),2023/12/13/15,2023,10.1109/CSCI62032.2023.00267,,,,,,Artificial intelligence; ChatGPT; Computational intelligence; Computational modeling; generative artificial intelligence; Manuals; prompt; Scientific computing; Software; software development; Task analysis,,1612,1614,2769-5654,,,,,,,
CONF,Comparing LLM-Based and Model-Driven Program Translation,K. Lano; H. A. Siala; K. Jin,2025 8th International Conference on Software and System Engineering (ICoSSE),,"Deep learning (DL) approaches for program translation have been extensively researched over recent years. These have been shown to be an effective alternative to manually-coded translators. At the same time, questions remain regarding the reliability and verifiability of DL approaches. Precise program translation approaches based on model-driven reverse engineering (MDRE) have also been researched. In this paper we provide the first detailed comparison of the results of the DL and MDRE approaches on tasks of COBOL translation to Python, Java and C\#.",2025 8th International Conference on Software and System Engineering (ICoSSE),2025/04/04/6,2025,10.1109/ICoSSE65712.2025.00021,,,,,,Accuracy; Codes; Deep learning; LLMs; Model-driven reverse engineering (MDRE); Program translation; Reliability; Reverse engineering; Software; Syntactics; Systems engineering and theory; Training; Translation,,75,79,,,,,,,,
CONF,IO-AutoMapper: Leveraging LLMs to Bind I/O Signal List Entries to Control Function Blocks in Industrial Automation,H. Koziolek; V. Ashiwal; T. Braun; S. Linsbauer,2025 IEEE 30th International Conference on Emerging Technologies and Factory Automation (ETFA),,"Automation engineering in process industries involves mapping IO list specifications for sensor and actuator signals to control function blocks from vendor libraries. Due to the non-standardized format and content of IO lists, it is challenging to automate this mapping as it involves interpreting unstructured data (e.g., signal descriptions). Previous approaches proposed mapping of IO list contents to common data schemas, such as ontologies or UML models, but did not provide means to automate the initial data import from heterogeneous input formats. We propose IO-AutoMapper, an LLM-supported method to automatically process spreadsheet IO lists and map their entries to control library function blocks. Experiments with five IO lists with 300 signals each showed more than 98% correct mappings and low LLM processing costs. While LLM hallucinations could not yet be fully eliminated, the method has the potential to reduce human labor for mapping IO list entries by more than 90%.",2025 IEEE 30th International Conference on Emerging Technologies and Factory Automation (ETFA),2025/09/09/12,2025,10.1109/ETFA65518.2025.11205551,,,,,,Automation engineering; Control engineering; Control Logic Generation; Costs; Generative AI; IEC 61131-3; Industries; Large language models; Large Language Models; Libraries; Logic; Manufacturing automation; Ontologies; Process control; Reviews; Unified modeling language,,1,8,1946-0759,,,,,,,
CONF,Semantic grounding of LLMs using knowledge graphs for query reformulation in medical information retrieval,A. Tommasel; I. Assent,2024 IEEE International Conference on Big Data (BigData),,"The widespread adoption of electronic health records has generated a vast amount of patient-related data, mostly presented in the form of unstructured text, which could be used for document retrieval. However, querying these texts in full could present challenges due to their unstructured and lengthy nature, as they may contain noise or irrelevant terms that can interfere with the retrieval process. Recently, large language models (LLMs) have revolutionized natural language processing tasks. However, despite their promising capabilities, their use in the medical domain has raised concerns due to their lack of understanding, hallucinations, and reliance on outdated knowledge. To address these concerns, we evaluate a Retrieval Augmented Generation (RAG) approach that integrates medical knowledge graphs with LLMs to support query refinement in medical document retrieval tasks. Our initial findings from experiments using two benchmark TREC datasets demonstrate that knowledge graphs can effectively ground LLMs in the medical domain.",2024 IEEE International Conference on Big Data (BigData),2024/12/15/18,2024,10.1109/BigData62323.2024.10826117,,,,,,Benchmark testing; Grounding; Information retrieval; knowledge graphs; Knowledge graphs; large language models; Law; medical documents; Natural language processing; Noise; Pipelines; query expansion; Resource management; Retrieval augmented generation; Semantics,,4048,4057,2573-2978,,,,,,,
JOUR,A Business Process-Centric Approach for LLM-Driven Functional Test Generation,M. P. Trong; N. Tung Son; L. N. Hai; V. T. Giang; B. H. Viet; D. T. Tung,IEEE Access,,"Validating end-to-end business processes requires strict adherence to state logic, particularly for long-horizon workflows involving complex multi-role interactions. While Large Language Models (LLMs) offer promising automation capabilities, current approaches often lack integration with formal testing principles, leading to inherent “happy path bias” and difficulties in maintaining context across extended sessions. This paper proposes a hybrid, business process-centric methodology that addresses these limitations through a “separation of concerns” architecture. Our framework utilizes LLMs for semantic comprehension while rigorously enforcing Specification-Based Testing techniques-specifically Equivalence Partitioning, Boundary Value Analysis (BVA), and Pairwise Testing-to optimize data coverage. Furthermore, the methodology employs graph-based modeling for deterministic navigation and systematically synthesizes exception flows to ensure robustness for cross-functional user journeys. Crucially, the generated test artifacts are engineered for compliance with the ISO/IEC/IEEE 29119-3 standard, ensuring industrial interoperability. Empirical evaluation across multiple subject systems demonstrates high-fidelity performance, achieving significant Boundary Value Coverage (avg. >88%), superior State Transition Coverage (avg. >95%), and high semantic quality scores (>92%). Moreover, an economic feasibility analysis confirms the framework’s efficiency, with operational costs ranging from  ${\$}$ 1.41 to  ${\$}$ 1.82 per complete regression suite. These findings suggest that integrating LLMs as semantic engines within a framework grounded in established software testing techniques offers a robust and cost-effective path toward scalable test automation.",,2026///,2026,10.1109/ACCESS.2026.3671629,,,,,,Automation; Business; functional testing; Large language models; Semantics; Software development management; software testing; Standards; System testing; test automation; Test pattern generators; Testing; Translation,14,44120,44146,2169-3536,,IEEE Access,,,,,
CONF,Chimera-3X: A Hybrid Cognitive Engine for Retrieval-Augmented Biomedical Consulting,M. Dhifallah; Y. Liu,2025 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),,"Biomedical question answering remains a challenging task due to the complexity of clinical knowledge and the limitations of general-purpose large language models (LLMs) in providing accurate, domain-specific responses. We introduce Chimera-3X, a hybrid cognitive engine that orchestrates multiple specialized LLMs (DeepSeek, BioGPT from Microsoft, and Exone 3.0 from LG), each fine-tuned and adapted as an independent medical sub-toolkit. Chimera-3X integrates external biomedical knowledge graphs such as UMLS, SNOMED CT, and Wikidata via retrieval-augmented generation techniques, enhancing the system's factual accuracy and reasoning capabilities. Each engine processes clinical queries independently while the orchestrator coordinates their outputs, leveraging SPARQLbased queries to ensure precise knowledge retrieval. Preliminary evaluations demonstrate significant improvements in clinical answer accuracy, coherence, and interpretability compared to standalone LLM approaches. We propose an architecture that provides a scalable, transparent and effective framework for biomedical consulting, advancing the integration of knowledgedriven AI in healthcare applications. Code and Resources: https://github.com/marwan8086/Chimera-3X",2025 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),2025/12/15/18,2025,10.1109/BIBM66473.2025.11356117,,,,,,Accuracy; Biomedical Knowledge Graphs; Clinical QA; Computer architecture; Engines; Explainable AI; Knowledge graphs; Large language models; Large Language Models (LLMs); Medical services; Optimization; Orchestration; Question answering (information retrieval); Retrieval augmented generation; Retrieval-Augmented Generation (RAG); Unified modeling language,,2114,2121,2156-1133,,,,,,,
CONF,Towards using Few-Shot Prompt Learning for Automating Model Completion,M. B. Chaaben; L. Burgueño; H. Sahraoui,2023 IEEE/ACM 45th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),,We propose a simple yet a novel approach to improve completion in domain modeling activities. Our approach exploits the power of large language models by using few-shot prompt learning without the need to train or fine-tune those models with large datasets that are scarce in this field. We implemented our approach and tested it on the completion of static and dynamic domain diagrams. Our initial evaluation shows that such an approach is effective and can be integrated in different ways during the modeling activities.,2023 IEEE/ACM 45th International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),2023/05/14/20,2023,10.1109/ICSE-NIER58687.2023.00008,,,,,,domain modeling; few-shot learning; language models; model completion; Natural languages; prompt learning; Semantics; Software engineering; Task analysis; Usability,,7,12,2832-7632,,,,,,,
CONF,MAIA: A Multidimensional Benchmark for Assessing Medical AI Agents,X. Ding; J. Ding; Y. Xie; X. Wang; B. Peng; Y. Li; Y. Li; A. Huang; Y. Wang,"ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,"Large language models show remarkable potential in medical scenarios, especially as autonomous agents for complex clinical reasoning. Rigorous evaluation is essential to ensure their reliability in real-world healthcare applications. However, existing medical benchmarks suffer from narrow task scopes, dependence on public datasets prone to data leakage, and limited coverage of diverse agent capabilities. To address these gaps, we introduce Medical AI Assessment (MAIA), a comprehensive benchmark evaluating medical agents along three dimensions: retrieval-based medical questions generated through biomedical APIs, multi-hop reasoning tasks derived from curated biomedical knowledge graphs, clinical-pathway reasoning questions constructed from authoritative guidelines. MAIA leverages large language models for automatic question generation, reducing manual effort while maintaining clinical fidelity and reasoning depth. Experiments across base and reasoning models reveal both strengths and gaps, underscoring MAIA’s value for advancing medical agent evaluation. MAIA is publicly available at https://huggingface.co/datasets/DiligentDing/MAIA.","ICASSP 2026 - 2026 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",2026/05/03/8,2026,10.1109/ICASSP55912.2026.11464246,,,,,,Artificial intelligence; Benchmarking; Clinical Pathways; Cognitive systems; Communication systems; Computer networks; Digital communication; Generative Pre-trained transformer; HTTP; Internet; Knowledge Graph Reasoning; Medical AI Assessment; Protocols; Spread spectrum communication,,18502,18506,2379-190X,,,,,,,
JOUR,Automatic Retrieval-Augmented Generation of 6G Network Specifications for Use Cases,Y. Tang; W. Guo,IEEE Communications Magazine,,"6G open radio access networks (O-RAN) promises to open data interfaces to enable plug-and-play service apps, many of which are consumer and business-facing. Opening up 6G access lowers the barrier to innovation but raises the challenge of required communication specifications that are not fully known to all service designers. As such, business innovators must either be familiar with 6G standards, or consult with experts. Enabling consistent, unbiased, rapid, and low-cost requirement assessment and specification generation is crucial to the O-RAN innovation ecosystem. Here, we discuss our initiative to bridge service specification gaps between network service providers and business innovators leveraging large language models (LLMs). We first review the state-of-the-art and motivation in 6G plug-and-play services, capabilities, potential use cases, and LLMs. We identify an ample innovation space for hybrid use cases that may require diverse and variational wireless functionalities across its operating time. We show that the network specification can be automated, and present the first automatic retrieval-augmented network service specification framework for 6G use cases. To enable public acceptance and feedback, a website interface is published for the research and industrial communities to experiment with the framework. We hope this review highlights the need for emerging foundation models for this area and motivates researcher engagement and contribution to the community through our framework.",,2025/04//,2025,10.1109/MCOM.002.2400280,,,,,,6G mobile communication; Databases; Knowledge engineering; Low latency communication; Open RAN; Real-time systems; Reliability; Sensors; Technological innovation; User experience,63,95,102,1558-1896,4,IEEE Communications Magazine,,,,,
CONF,Automating Automotive Software Development: A Synergy of Generative AI and Model-Based Methods,F. Pan; Y. Song; L. Wen; N. Petrovic; K. Lebioda; A. Knoll,2025 IEEE International Symposium on Systems Engineering (ISSE),,"As the automotive industry shifts its focus toward software-defined vehicles, the need for faster and reliable software development continues to grow. However, traditional methods show their limitations. The rise of Generative Artificial Intelligence (GenAI), particularly Large Language Models (LLMs), introduces new opportunities to automate automotive software development tasks such as requirement analysis and code generation. However, due to the complexity of automotive systems, where software components must interact with each other seamlessly, challenges remain in software integration and system-level validation. In this paper, we propose to combine GenAI with model-driven engineering to automate automotive software development. Our approach uses LLMs to convert free-text requirements into event chain descriptions and to generate platform-independent software components that realize the required functionality. At the same time, formal models are created based on event chain descriptions to support system validation and the generation of integration code for integrating generated software components in the whole vehicle system through middleware. This approach increases development automation via GenAI while enabling model-based analysis to improve system reliability. We demonstrated our method with different LLMs and tested it in the CARLA simulation environment with ROS2 middleware. We evaluated the system in a simple Autonomous Emergency Braking scenario.",2025 IEEE International Symposium on Systems Engineering (ISSE),2025/10/28/30,2025,10.1109/ISSE65546.2025.11370121,,,,,,Analytical models; Automotive engineering; Codes; Generative AI; Middleware; Modeling; Software development management; Software reliability; System validation; Test pattern generators,,1,8,2687-8828,,,,,,,
JOUR,Implementing Generative AI Into ERP Software,S. Sarferaz,IEEE Access,,"Enterprise Resource Planning (ERP) systems digitize all business processes within companies in order to enhance automation and optimize efficiency. These solutions integrate data and processes across multiple functions such as sales, marketing, finance, supply chain, manufacturing, services, procurement, and human resources, serving as a central repository of information for numerous organizations. ERP systems typically encompass tens of thousands of business processes and manage data across thousands of tables, creating significant opportunities for the integration of Generative Artificial Intelligence (AI) for increasing process automatization and optimization. Nonetheless, embedding Generative AI into ERP solutions is a complex task due to the intricate nature of these systems, which consist of hundreds of millions of lines of code and cater to a wide array of industry-specific and regional requirements. Consequently, the key research question addressed in this paper is: How to systematically develop and operate Generative AI business applications in ERP systems? This article aims to answer this question by conducting a use case analysis, deriving business requirements, designing and implementing a solution framework, and evaluating its effectiveness through real-world ERP use cases.",,2025///,2025,10.1109/ACCESS.2025.3564133,,,,,,AI; AI development; AI operations; artificial intelligence; Artificial intelligence; Business; business AI; business applications; enterprise AI; Enterprise resource planning; ERP; Fraud; generative AI; Generative AI; Libraries; Manufacturing; Prevention and mitigation; Software; software integration; Taxonomy,13,73342,73354,2169-3536,,IEEE Access,,,,,
JOUR,ADRAG: Avionics Diagnostic Retrieval-Augmented Generation by Fusing Hierarchical Semantic Trees and Knowledge Graphs,J. An; H. Chen; J. Zhao; Q. Tang; X. Gui; X. He; J. Ai,IEEE Transactions on Reliability,,"In modern avionics, fault diagnosis of electronic components relies heavily on expert interpretation of complex multimodal technical datasheets that integrate text, schematics, and timing diagrams. This knowledge-intensive manual process is not only expertise-driven but also struggles to capture latent semantic relationships spanning across different document sections. Existing retrieval-augmented generation (RAG) frameworks fall short in parsing structured data and performing effective cross-modal inference between textual descriptions and waveforms, ultimately leading to diagnostic hypotheses that are factually inconsistent with the source material. To address this issue, we introduce the avionics diagnostic RAG (ADRAG) framework. ADRAG employs a hierarchical semantic tree with recursive partitioning and quality-gated multimodal assembly to aggregate related content across chapters, guiding the construction of a knowledge graph. Leveraging this dual structure, a multiagent system combines tree traversal for contextual navigation with graph queries for precise factual inference. To maintain retrieval robustness under structural knowledge deficits, an adaptive fallback mechanism is integrated directly into the pipeline. This hybrid approach ultimately optimizes the context provided to the large language model (LLM) for generating diagnostic hypotheses. Experiments on a specialized avionics dataset demonstrate that ADRAG significantly outperforms RAG baselines, especially in complex cross-modal reasoning tasks. Our framework helps engineers reliably diagnose faults in safety-critical domains by providing fact-based answers, improving the accuracy and verifiability of LLM-generated outputs.",,2026///,2026,10.1109/TR.2026.3704165,,,,,,Aerospace electronics; Fault diagnosis; Flexible AC transmission systems; knowledge graph (KG); Knowledge graphs; Large language models; large language models (LLMs); Modeling; multimodal data; Pediatrics; Retrieval augmented generation; retrieval-augmented generation (RAG); Trees (botanical); Vegetation,75,2523,2535,1558-1721,,IEEE Transactions on Reliability,,,,,
JOUR,Detection and Defense Against Backdoor Attacks in Large Language Models Based on Repeated Words Analysis,C. Zhang; X. Tao; B. Zheng; Z. Gao; L. Zhu,Chinese Journal of Electronics,,"Backdoor attacks pose significant threats to the security and reliability of large language models (LLMs). Existing approaches to backdoor detection often struggle with accurately identifying complex and stealthy triggers, especially in diverse and large-scale datasets, leading to gaps in defense effectiveness. This paper proposes a novel approach to detect and defend against such attacks by analyzing repeated patterns in input data. By identifying repeated words that frequently appear in malicious inputs, the proposed approach effectively locates backdoor triggers and mitigates their impact on LLMs. The method leverages semantic clustering and recursive optimization to enhance detection precision and ensure minimal disruption to benign outputs. Experimental results based on a real-world movie review dataset demonstrate the accuracy, robustness, and efficiency of this approach in detecting backdoor attacks and enhancing model security.",,2026/03//,2026,10.23919/cje.2025.00.003,,,,,,Algorithms; Backdoor detection; Cyberspace; Large language models; Modeling; Optimization; Printing; Repeated pattern analysis; Security; Signal detection; Technology; Training,35,700,712,2075-5597,2,Chinese Journal of Electronics,,,,,
